Product Name,Price,Discount,Battery,Display,Ratings,Reviews,Camera,Actual Price,Processor,RAM,ROM,brand,type
"vivo T3 Pro 5G (Emerald Green, 256 GB)",24999.0,21.0,5500 mAh Battery,17.2 cm (6.77 inch) Full HD+ AMOLED Display,48590.0,3354.0,50MP + 8MP | 16MP Front Camera,31999.0,Snapdragon 7 Gen 3 Processor,8.0,256.0,vivo,Android
"vivo T3 Lite 5G (Majestic Black, 128 GB)",11499.0,25.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,82404.0,2940.0,50MP + 2MP | 8MP Front Camera,15499.0,Dimensity 6300 Processor,6.0,128.0,vivo,Android
"vivo T3x 5G (Celestial Green, 128 GB)",13999.0,26.0,6000 mAh Battery,17.06 cm (6.7165354 inch) Full HD+ Display,138072.0,5291.0,50MP + 2MP | 8MP Front Camera,18999.0,6 Gen 1 Processor,6.0,128.0,vivo,Android
"vivo V50 5G (Starry Night, 256 GB)",36999.0,13.0,6000 mAh Battery,17.2 cm (6.77 inch) Display,454.0,60.0,50MP + 50MP | 50MP Front Camera,42999.0,7 Gen 3 Processor,8.0,256.0,vivo,Android
"vivo T3 Lite 5G (Vibrant Green, 128 GB)",10499.0,27.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,55964.0,1921.0,50MP + 2MP | 8MP Front Camera,14499.0,Dimensity 6300 Processor,4.0,128.0,vivo,Android
"vivo V50 5G (Rose Red, 256 GB)",36999.0,13.0,6000 mAh Battery,17.2 cm (6.77 inch) Display,454.0,60.0,50MP + 50MP | 50MP Front Camera,42999.0,7 Gen 3 Processor,8.0,256.0,vivo,Android
"vivo T3x 5G (Sapphire Blue, 128 GB)",13999.0,26.0,6000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,138072.0,5291.0,50MP + 2MP | 8MP Front Camera,18999.0,6 Gen 1 Processor,6.0,128.0,vivo,Android
"vivo Y29 5G (Glacier Blue, 128 GB)",13999.0,15.0,5500 mAh Battery,16.97 cm (6.68 inch) Display,194.0,12.0,50MP + 0.08MP | 8MP Front Camera,16499.0,Dimensity 6300 Processor,4.0,128.0,vivo,Android
"vivo T3x 5G (Celestial Green, 128 GB)",12499.0,28.0,6000 mAh Battery,17.06 cm (6.7165354 inch) Full HD+ Display,51490.0,2043.0,50MP + 2MP | 8MP Front Camera,17499.0,6 Gen 1 Processor,4.0,128.0,vivo,Android
"vivo V40 5G (Titanium Grey, 256 GB)",36999.0,13.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,8027.0,850.0,50MP + 50MP | 50MP Front Camera,42999.0,Snapdragon 7 Gen 3 Processor,8.0,256.0,vivo,Android
"vivo V30 Pro 5G (Classic Black, 256 GB)",34999.0,25.0,5000 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,6254.0,780.0,50MP + 50MP + 50MP | 50MP Front Camera,46999.0,Dimensity 8200 5G Processor,8.0,256.0,vivo,Android
"vivo V50 5G (Rose Red, 512 GB)",40999.0,16.0,6000 mAh Battery,17.2 cm (6.77 inch) Display,139.0,15.0,50MP + 50MP | 50MP Front Camera,48999.0,7 Gen 3 Processor,12.0,512.0,vivo,Android
